INSTANCE;WEIGHT_GR;VALUE_GR;EXECUTION_TIME_GR;WEIGHT_BF;VALUE_BF;EXECUTION_TIME_BF;WEIGHT_BB;VALUE_BB;EXECUTION_TIME_BB;WEIGHT_DP;VALUE_DP;EXECUTION_TIME_DP;WEIGHT_OT;VALUE_OT;EXECUTION_TIME_IP;WEIGHT_IP;VALUE_IP;EXECUTION_TIME_OT
;problem_10_1000_4_1_5.txt;905;905;0;1000;1000;1;1000;1000;0;1000;1000;0;1000;1000;0;1000;1000;67
;problem_10_1000_4_2_5.txt;1598;1598;0;2153;2153;1;2153;2153;0;2153;2153;0;2153;2153;0;2153;2153;83
;problem_10_1000_4_3_5.txt;2261;2261;0;2288;2288;1;2288;2288;0;2288;2288;0;2288;2288;0;2288;2288;16
;problem_10_1000_4_4_5.txt;2600;2600;0;2633;2633;1;2633;2633;0;2633;2633;0;2633;2633;0;2633;2633;79
;problem_10_1000_4_5_5.txt;4568;4568;0;4730;4730;1;4730;4730;0;4730;4730;0;4730;4730;0;4730;4730;12
;problem_50_50_1_1_5.txt;245;581;0;242;345;10001;245;581;6;245;581;0;245;581;0;245;581;9
;problem_50_50_1_2_5.txt;354;891;0;380;600;10001;388;918;497;388;918;0;388;918;0;388;918;14
;problem_50_50_1_3_5.txt;637;953;0;640;721;10001;646;957;2749;646;957;0;647;957;0;647;957;13
;problem_50_50_1_4_5.txt;853;1170;0;878;892;10001;463;871;10001;881;1180;0;883;1180;0;881;1180;13
;problem_50_50_1_5_5.txt;1080;1087;0;913;822;10001;480;768;10001;1080;1087;0;1080;1087;1;1080;1087;6
;problem_50_50_2_1_5.txt;232;283;0;247;260;10001;246;298;0;246;298;0;246;298;0;246;298;16
;problem_50_50_2_2_5.txt;363;432;0;390;431;10001;390;461;350;390;461;0;390;461;0;390;461;11
;problem_50_50_2_3_5.txt;643;692;0;647;649;10001;648;696;3681;648;696;0;648;696;0;648;696;11
;problem_50_50_2_4_5.txt;850;928;0;884;901;10001;748;826;10001;885;960;0;884;960;0;883;960;36
;problem_50_50_2_5_5.txt;1060;1091;0;906;901;10001;667;720;10001;1079;1108;0;1079;1108;1;1079;1108;83
;problem_50_50_3_1_5.txt;224;404;0;239;339;10001;239;419;83;239;419;0;239;419;0;239;419;17
;problem_50_50_3_2_5.txt;390;700;0;398;588;10001;239;489;10001;398;708;0;398;708;0;398;708;14
;problem_50_50_3_3_5.txt;658;998;0;660;940;10001;377;627;10001;660;1000;0;660;1000;1;660;1000;8
;problem_50_50_3_4_5.txt;802;1212;0;824;1154;10001;229;479;10001;824;1234;0;824;1234;1;824;1234;20
;problem_50_50_3_5_5.txt;981;1431;0;917;1307;10001;334;584;10001;1005;1455;0;1005;1455;1;1005;1455;22
;problem_50_50_4_1_5.txt;239;239;0;239;239;10001;239;239;0;239;239;0;239;239;0;239;239;7
;problem_50_50_4_2_5.txt;378;378;0;398;398;10001;398;398;94;398;398;0;398;398;0;398;398;8
;problem_50_50_4_3_5.txt;651;651;0;660;660;10001;660;660;10001;660;660;0;660;660;0;660;660;10
;problem_50_50_4_4_5.txt;803;803;0;812;812;10001;731;731;10001;824;824;0;824;824;0;824;824;9
;problem_50_50_4_5_5.txt;994;994;0;989;989;10001;586;586;10001;1005;1005;0;1005;1005;0;1005;1005;9
;problem_50_100_1_1_5.txt;425;1067;0;464;646;10001;458;1098;6;458;1098;0;458;1098;0;458;1098;25
;problem_50_100_1_2_5.txt;798;1730;0;805;1234;10001;798;1730;450;798;1730;0;798;1730;1;798;1730;11
;problem_50_100_1_3_5.txt;1330;1866;0;1368;1411;10001;1371;1888;589;1371;1888;0;1371;1888;1;1371;1888;12
;problem_50_100_1_4_5.txt;1594;2130;0;1595;1718;10001;1612;2137;6815;1612;2137;0;1616;2137;1;1612;2137;13
;problem_50_100_1_5_5.txt;2004;2235;0;1751;1761;10001;1062;1608;10001;2080;2267;0;2080;2267;2;2080;2267;16
;problem_50_100_2_1_5.txt;457;565;0;460;489;10001;464;570;11;464;570;0;464;570;0;464;570;11
;problem_50_100_2_2_5.txt;749;873;0;806;835;10001;807;930;1178;807;930;0;807;930;0;807;930;23
;problem_50_100_2_3_5.txt;1367;1501;0;1372;1419;10001;1270;1402;10001;1372;1504;0;1373;1504;1;1373;1504;30
;problem_50_100_2_4_5.txt;1555;1695;0;1615;1653;10001;1112;1260;10001;1618;1752;0;1618;1752;2;1618;1752;38
;problem_50_100_2_5_5.txt;2076;2162;0;1827;1839;10001;1120;1253;10001;2076;2162;0;2076;2162;2;2076;2162;23
;problem_50_100_3_1_5.txt;433;633;0;439;539;10001;439;639;320;439;639;0;439;639;0;439;639;12
;problem_50_100_3_2_5.txt;912;1182;0;931;1141;10001;791;1041;10001;931;1201;0;931;1201;0;931;1201;22
;problem_50_100_3_3_5.txt;1300;1650;0;1310;1580;10001;650;900;10001;1310;1660;0;1310;1660;1;1310;1660;19
;problem_50_100_3_4_5.txt;1557;1977;0;1557;1897;10001;394;644;10001;1557;1977;0;1557;1977;2;1557;1977;5
